weather,base,visibility,dt,timezone,id,name,cod,location,state,data_type,coord.lon,coord.lat,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.humidity,main.sea_level,main.grnd_level,wind.speed,wind.deg,wind.gust,clouds.all,sys.country,sys.sunrise,sys.sunset,pop,dt_txt,main.temp_kf,sys.pod,rain.3h,weather_source,lat,lon,date_iso,date,value
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,10000.0,1759459192.0,-25200.0,5809844.0,Seattle,200.0,Seattle,WA,current,-122.3321,47.6062,15.52,14.98,15.52,15.52,1017.0,71.0,1017.0,1008.0,1.78,206.0,3.45,32.0,US,1759414204.0,1759456010.0,,,,,,openweather,,,,,
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",,10000.0,1759460400.0,,,,,Seattle,WA,forecast,,,15.52,14.98,15.52,15.52,1017.0,71.0,1017.0,1008.0,1.78,206.0,3.45,32.0,,,,0.0,2025-10-03 03:00:00,0.0,n,,openweather,,,,,
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",,10000.0,1759471200.0,,,,,Seattle,WA,forecast,,,15.32,14.84,14.93,15.32,1018.0,74.0,1018.0,1009.0,0.51,135.0,0.73,29.0,,,,0.0,2025-10-03 06:00:00,0.39,n,,openweather,,,,,
"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,10000.0,1759482000.0,,,,,Seattle,WA,forecast,,,14.12,13.73,13.42,14.12,1018.0,82.0,1018.0,1009.0,0.68,200.0,1.1,13.0,,,,0.0,2025-10-03 09:00:00,0.7,n,,openweather,,,,,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,10000.0,1759492800.0,,,,,Seattle,WA,forecast,,,13.59,13.35,13.59,13.59,1019.0,90.0,1019.0,1010.0,0.55,134.0,0.69,1.0,,,,0.0,2025-10-03 12:00:00,0.0,n,,openweather,,,,,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",,10000.0,1759503600.0,,,,,Seattle,WA,forecast,,,12.36,12.0,12.36,12.36,1021.0,90.0,1021.0,1011.0,0.74,177.0,1.3,3.0,,,,0.0,2025-10-03 15:00:00,0.0,d,,openweather,,,,,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",,10000.0,1759514400.0,,,,,Seattle,WA,forecast,,,15.96,15.23,15.96,15.96,1020.0,62.0,1020.0,1010.0,1.55,205.0,1.84,2.0,,,,0.0,2025-10-03 18:00:00,0.0,d,,openweather,,,,,
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",,10000.0,1759525200.0,,,,,Seattle,WA,forecast,,,19.97,19.25,19.97,19.97,1019.0,47.0,1019.0,1009.0,1.61,230.0,1.74,39.0,,,,0.0,2025-10-03 21:00:00,0.0,d,,openweather,,,,,
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",,10000.0,1759536000.0,,,,,Seattle,WA,forecast,,,19.62,18.89,19.62,19.62,1018.0,48.0,1018.0,1008.0,1.13,284.0,1.38,56.0,,,,0.0,2025-10-04 00:00:00,0.0,d,,openweather,,,,,
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,10000.0,1759546800.0,,,,,Seattle,WA,forecast,,,15.4,14.69,15.4,15.4,1018.0,65.0,1018.0,1009.0,1.56,6.0,2.93,76.0,,,,0.0,2025-10-04 03:00:00,0.0,n,,openweather,,,,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",,10000.0,1759557600.0,,,,,Seattle,WA,forecast,,,15.28,14.56,15.28,15.28,1019.0,65.0,1019.0,1009.0,0.74,47.0,2.35,88.0,,,,0.0,2025-10-04 06:00:00,0.0,n,,openweather,,,,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",,10000.0,1759568400.0,,,,,Seattle,WA,forecast,,,14.1,13.58,14.1,14.1,1019.0,77.0,1019.0,1009.0,1.33,119.0,1.75,100.0,,,,0.0,2025-10-04 09:00:00,0.0,n,,openweather,,,,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",,10000.0,1759579200.0,,,,,Seattle,WA,forecast,,,12.91,12.5,12.91,12.91,1019.0,86.0,1019.0,1009.0,0.87,109.0,1.8,100.0,,,,0.0,2025-10-04 12:00:00,0.0,n,,openweather,,,,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",,10000.0,1759590000.0,,,,,Seattle,WA,forecast,,,13.02,12.6,13.02,13.02,1019.0,85.0,1019.0,1009.0,0.97,45.0,1.52,86.0,,,,0.0,2025-10-04 15:00:00,0.0,d,,openweather,,,,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",,10000.0,1759600800.0,,,,,Seattle,WA,forecast,,,15.39,14.86,15.39,15.39,1019.0,72.0,1019.0,1010.0,1.49,78.0,0.7,90.0,,,,0.0,2025-10-04 18:00:00,0.0,d,,openweather,,,,,
"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",,10000.0,1759611600.0,,,,,Seattle,WA,forecast,,,17.71,17.05,17.71,17.71,1018.0,58.0,1018.0,1009.0,1.31,20.0,1.42,99.0,,,,0.2,2025-10-04 21:00:00,0.0,d,0.17,openweather,,,,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",,10000.0,1759622400.0,,,,,Seattle,WA,forecast,,,17.44,16.7,17.44,17.44,1018.0,56.0,1018.0,1008.0,1.47,342.0,1.86,99.0,,,,0.0,2025-10-05 00:00:00,0.0,d,,openweather,,,,,
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",,10000.0,1759633200.0,,,,,Seattle,WA,forecast,,,12.57,11.97,12.57,12.57,1018.0,80.0,1018.0,1009.0,1.83,355.0,2.69,41.0,,,,0.0,2025-10-05 03:00:00,0.0,n,,openweather,,,,,
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",,10000.0,1759644000.0,,,,,Seattle,WA,forecast,,,11.6,11.04,11.6,11.6,1019.0,85.0,1019.0,1009.0,1.67,10.0,2.65,40.0,,,,0.0,2025-10-05 06:00:00,0.0,n,,openweather,,,,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",,10000.0,1759654800.0,,,,,Seattle,WA,forecast,,,10.64,10.08,10.64,10.64,1019.0,89.0,1019.0,1009.0,1.7,12.0,3.49,92.0,,,,0.0,2025-10-05 09:00:00,0.0,n,,openweather,,,,,
