weather,base,visibility,dt,timezone,id,name,cod,location,state,data_type,coord.lon,coord.lat,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.humidity,main.sea_level,main.grnd_level,wind.speed,wind.deg,wind.gust,clouds.all,sys.country,sys.sunrise,sys.sunset,pop,dt_txt,main.temp_kf,sys.pod,rain.3h
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,10000,1759459192,-25200.0,5809844.0,Seattle,200.0,Seattle,WA,current,-122.3321,47.6062,15.52,14.98,15.52,15.52,1017,71,1017,1008,1.78,206,3.45,32,US,1759414204.0,1759456010.0,,,,,
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",,10000,1759460400,,,,,Seattle,WA,forecast,,,15.52,14.98,15.52,15.52,1017,71,1017,1008,1.78,206,3.45,32,,,,0.0,2025-10-03 03:00:00,0.0,n,
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",,10000,1759471200,,,,,Seattle,WA,forecast,,,15.32,14.84,14.93,15.32,1018,74,1018,1009,0.51,135,0.73,29,,,,0.0,2025-10-03 06:00:00,0.39,n,
"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,10000,1759482000,,,,,Seattle,WA,forecast,,,14.12,13.73,13.42,14.12,1018,82,1018,1009,0.68,200,1.1,13,,,,0.0,2025-10-03 09:00:00,0.7,n,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,10000,1759492800,,,,,Seattle,WA,forecast,,,13.59,13.35,13.59,13.59,1019,90,1019,1010,0.55,134,0.69,1,,,,0.0,2025-10-03 12:00:00,0.0,n,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",,10000,1759503600,,,,,Seattle,WA,forecast,,,12.36,12.0,12.36,12.36,1021,90,1021,1011,0.74,177,1.3,3,,,,0.0,2025-10-03 15:00:00,0.0,d,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",,10000,1759514400,,,,,Seattle,WA,forecast,,,15.96,15.23,15.96,15.96,1020,62,1020,1010,1.55,205,1.84,2,,,,0.0,2025-10-03 18:00:00,0.0,d,
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",,10000,1759525200,,,,,Seattle,WA,forecast,,,19.97,19.25,19.97,19.97,1019,47,1019,1009,1.61,230,1.74,39,,,,0.0,2025-10-03 21:00:00,0.0,d,
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",,10000,1759536000,,,,,Seattle,WA,forecast,,,19.62,18.89,19.62,19.62,1018,48,1018,1008,1.13,284,1.38,56,,,,0.0,2025-10-04 00:00:00,0.0,d,
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,10000,1759546800,,,,,Seattle,WA,forecast,,,15.4,14.69,15.4,15.4,1018,65,1018,1009,1.56,6,2.93,76,,,,0.0,2025-10-04 03:00:00,0.0,n,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",,10000,1759557600,,,,,Seattle,WA,forecast,,,15.28,14.56,15.28,15.28,1019,65,1019,1009,0.74,47,2.35,88,,,,0.0,2025-10-04 06:00:00,0.0,n,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",,10000,1759568400,,,,,Seattle,WA,forecast,,,14.1,13.58,14.1,14.1,1019,77,1019,1009,1.33,119,1.75,100,,,,0.0,2025-10-04 09:00:00,0.0,n,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",,10000,1759579200,,,,,Seattle,WA,forecast,,,12.91,12.5,12.91,12.91,1019,86,1019,1009,0.87,109,1.8,100,,,,0.0,2025-10-04 12:00:00,0.0,n,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",,10000,1759590000,,,,,Seattle,WA,forecast,,,13.02,12.6,13.02,13.02,1019,85,1019,1009,0.97,45,1.52,86,,,,0.0,2025-10-04 15:00:00,0.0,d,
